Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price,Condition_Original
Honda,Fit Hybrid,2012.0,139000.0,1330.0,petrol hybrid,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,5.0,,
Mazda,Demio,2012.0,219000.0,1290.0,petrol,automatic,4.5,fwd,94.0,137.0,11.0,hatchback,5.0,,
Honda,Fit,2012.0,199000.0,1300.0,petrol,automatic,4.5,awd,125.5,154.5,9.95,hatchback,5.0,,
Nissan,Note,2014.0,62000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Suzuki,Swift,2007.0,57000.0,1240.0,petrol,automatic,4.5,fwd,94.0,118.0,11.0,hatchback,5.0,,
Honda,Fit,2009.0,200000.0,1490.0,petrol,automatic,4.5,awd,115.5,133.5,10.0,hatchback,5.0,,
Nissan,Note,2014.0,72000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Toyota,Bb,2010.0,119000.0,1290.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,mini van,5.0,,
Nissan,Note,2013.0,60000.0,1190.0,petrol,automatic,4.5,fwd,87.5,123.5,11.75,hatchback,5.0,,
Mazda,Demio,2012.0,209000.0,1290.0,petrol,automatic,4.5,fwd,94.0,137.0,11.0,hatchback,5.0,,
Nissan,Bluebird Sylphy,2010.0,133000.0,1990.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,sedan,5.0,,
Honda,Insight,2010.0,183000.0,1330.0,petrol hybrid,automatic,4.5,fwd,97.0,167.0,12.4,hatchback,5.0,,
Suzuki,Alto,2013.0,67000.0,660.0,petrol,automatic,4.5,fwd,52.0,63.0,16.0,hatchback,2.0,,
Nissan,Note,2014.0,76000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Nissan,Note,2014.0,73000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Honda,Stepwagon,2009.0,144000.0,2000.0,petrol,automatic,4.5,fwd,150.0,190.0,10.0,mini van,8.0,,
Toyota,Passo,2005.0,88000.0,990.0,petrol,automatic,4.5,fwd,71.0,94.0,13.5,hatchback,5.0,,
Suzuki,Swift,2009.0,96000.0,1240.0,petrol,automatic,4.5,fwd,94.0,118.0,11.0,hatchback,5.0,,
Nissan,Note,2013.0,98000.0,1200.0,petrol,automatic,4.5,awd,87.5,123.5,11.75,hatchback,5.0,,
Toyota,Vitz,2006.0,102000.0,990.0,petrol,automatic,4.5,fwd,94.0,102.0,12.0,hatchback,5.0,,
Toyota,Passo,2013.0,128000.0,990.0,petrol,automatic,4.5,awd,74.0,94.0,12.0,hatchback,5.0,,
Honda,Fit,2008.0,222000.0,1330.0,petrol,automatic,4.5,awd,115.5,133.5,10.0,hatchback,5.0,,
Toyota,Passo,2008.0,74000.0,990.0,petrol,automatic,4.5,fwd,71.0,94.0,13.5,hatchback,5.0,,
Honda,Stepwagon,2009.0,188000.0,1990.0,petrol,automatic,4.5,fwd,150.0,190.0,10.0,mini van,8.0,,
Toyota,Isis,2007.0,95000.0,1990.0,petrol,automatic,4.5,fwd,136.5,171.5,12.0,mini van,7.0,,
Toyota,Bb,2012.0,153000.0,1290.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,mini van,5.0,,
Nissan,Bluebird Sylphy,2009.0,149000.0,1990.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,sedan,5.0,,
Toyota,Passo,2007.0,155000.0,990.0,petrol,automatic,4.5,fwd,71.0,94.0,13.5,hatchback,5.0,,
Mazda,Mpv,2010.0,116000.0,2260.0,petrol,automatic,4.5,fwd,218.0,305.5,11.0,mini van,8.0,,
Nissan,Note,2014.0,124000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Subaru,Exiga,2010.0,109000.0,2000.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,station wagon,7.0,,
Suzuki,Alto,2013.0,90000.0,660.0,petrol,automatic,4.5,fwd,52.0,63.0,16.0,hatchback,2.0,,
Nissan,Note,2014.0,121000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Mitsubishi,Pajero Mini,2010.0,161000.0,660.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,4.0,,
Daihatsu,Mira,2012.0,70000.0,650.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Daihatsu,Mira,2011.0,91000.0,660.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Honda,Acty Van,2012.0,210000.0,650.0,petrol,automatic,4.5,fwd,115.5,139.5,10.0,van,2.0,,
Suzuki,Splash,2009.0,145000.0,1240.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,5.0,,
Nissan,March,2014.0,133000.0,1190.0,petrol,automatic,4.5,fwd,78.0,105.0,12.0,hatchback,5.0,,
Honda,Acty Van,2014.0,109000.0,650.0,petrol,automatic,4.5,fwd,115.5,139.5,10.0,van,2.0,,
Mazda,Demio,2006.0,78000.0,1490.0,petrol,automatic,4.5,fwd,94.0,119.5,11.0,hatchback,5.0,,
Honda,Freed,2008.0,134000.0,1490.0,petrol,automatic,4.5,fwd,118.0,148.0,11.0,mini van,7.0,,
Honda,Freed,2008.0,134000.0,1490.0,petrol,automatic,4.5,fwd,118.0,148.0,11.0,mini van,7.0,,
Nissan,Note,2010.0,39000.0,1490.0,petrol,automatic,4.5,fwd,110.0,145.0,11.0,hatchback,5.0,,
Suzuki,Wagon R,2014.0,85000.0,650.0,petrol,automatic,4.5,fwd,64.0,84.0,15.0,wagon,4.0,,
Nissan,Note,2012.0,84000.0,1200.0,petrol,automatic,4.5,fwd,97.0,147.0,11.0,hatchback,5.0,,
Nissan,Note,2013.0,82000.0,1200.0,petrol,automatic,4.5,fwd,87.5,123.5,11.75,hatchback,5.0,,
Honda,Fit Hybrid,2010.0,212000.0,1300.0,petrol hybrid,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,5.0,,
Nissan,Note,2013.0,162000.0,1190.0,petrol,automatic,4.5,fwd,87.5,123.5,11.75,hatchback,5.0,,
Honda,Freed,2008.0,154000.0,1500.0,petrol,automatic,4.5,fwd,118.0,148.0,11.0,mini van,7.0,,
Mitsubishi,Pajero Mini,2004.0,71000.0,660.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,4.0,,
Chevrolet,Cruze,2006.0,206000.0,1300.0,petrol,automatic,4.5,awd,72.0,104.0,13.0,hatchback,2.0,,
Daihatsu,Mira,2012.0,93000.0,650.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Nissan,Note,2012.0,78000.0,1200.0,petrol,automatic,4.5,fwd,97.0,147.0,11.0,hatchback,5.0,,
Daihatsu,Mira,2008.0,54000.0,650.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Daihatsu,Mira,2007.0,93000.0,660.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Daihatsu,Mira,2009.0,109000.0,660.0,petrol,automatic,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Daihatsu,Move,2008.0,77000.0,650.0,petrol,automatic,4.5,fwd,57.0,78.0,14.0,hatchback,4.0,,
Daihatsu,Mira,2012.0,124000.0,650.0,petrol,manual,4.5,fwd,58.0,68.0,17.5,hatchback,4.0,,
Daihatsu,Move,2007.0,80000.0,650.0,petrol,automatic,4.5,fwd,57.0,78.0,14.0,hatchback,4.0,,
Suzuki,Solio,2013.0,150000.0,1240.0,petrol,automatic,4.5,fwd,91.0,116.5,11.5,wagon,5.0,,
Daihatsu,Move,2011.0,151000.0,650.0,petrol,automatic,4.5,fwd,57.0,78.0,14.0,hatchback,4.0,,
Honda,Life,2012.0,158000.0,650.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Honda,Life,2012.0,105000.0,660.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Honda,Life,2012.0,200000.0,660.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Daihatsu,Move,2011.0,199000.0,650.0,petrol,automatic,4.5,fwd,57.0,78.0,14.0,hatchback,4.0,,
Daihatsu,Move,2007.0,134000.0,650.0,petrol,automatic,4.5,fwd,57.0,78.0,14.0,hatchback,4.0,,
Toyota,Dyna,1989.0,32000.0,3660.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,12533.0,
Toyota,Toyoace Truck,1995.0,25000.0,3660.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,14587.0,
Mitsubishi,Fighter,2004.0,225000.0,8200.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,17214.0,
Toyota,Dyna,2001.0,269000.0,4610.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
