id,model_name,make_name,vehicle_type,name,price,body_type,source,current_location,drive,mileage,color,annual_insurance,year_of_manufacture,torque,fuel_type,engine_size,horse_power,acceleration,transmission,urban_consumption,highway_consumption,availability,purchase_status,condition
4185,Mark X,Toyota,Automobile,Toyota Mark X,1099999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,199000,,45000,2010,243,Petrol,2500,203,8.3,Automatic,10,12,sell_on_behalf,Available,Very Good
4183,V60,Volvo,Automobile,Volvo V60 T5,2499999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,33000,,112500,2017,400,Petrol,2000,298,8,Automatic,11,13,sell_on_behalf,Available,Very Good
4181,Golf TSI,Volkswagen,Automobile,Volkswagen Golf TSI 1.4L,1749999,Hatchback,Kenyan Used,"Nairobi, Kenya",2WD,23000,,76500,2015,200,Petrol,1400,122,8,Automatic,14,16,sell_on_behalf,Available,Very Good
4180,Sylphy,Nissan,Automobile,Nissan Sylphy,1249999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,88000,,54000,2014,174,Petrol,1800,124,12,Automatic,11,13,sell_on_behalf,Available,Very Good
4179,E220,Mercedes,Automobile,Mercedes Benz E220d,3449999,Saloon,Foreign Used,"Nairobi, Kenya",2WD,70000,,148500,2016,400,Diesel,2200,192,7,Automatic,12,14,available,Available,Very Good
4175,Forester,Subaru,Automobile,Subaru Forester,2999999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,112000,,126000,2016,196,Petrol,2000,146,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4173,Pajero,Mitsubishi,Automobile,Mitsubishi Pajero Sport,5649999,SUV,Foreign Used,"Nairobi, Kenya",4WD,70000,,261000,2017,430,Diesel,2400,180,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4169,Fielder,Toyota,Automobile,"Toyota Fielder 1.5 ""G""",1889999,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,96000,,76500,2016,138,Petrol,1500,109,10,Automatic,14,16,sell_on_behalf,Available,Very Good
4168,Fielder,Toyota,Automobile,"Toyota Fielder 1.5 ""G""",1889999,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,69000,,76500,2016,138,Petrol,1500,109,10,Automatic,14,16,sell_on_behalf,Available,Very Good
4152,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado TX,3649999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,82000,,157500,2014,270,Petrol,2700,167,10,Automatic,10,12,sell_on_behalf,Available,Very Good
4149,Forester XT,Subaru,Automobile,Subaru Forester XT,3499999,SUV,Foreign Used,"Nairobi, Kenya",AWD,80000,,148500,2016,350,Petrol,2000,250,7.5,Automatic,10,12,available,Available,Very Good
4148,Demio,Mazda,Automobile,Mazda Demio,1249999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,106000,,54000,2016,220,Diesel,1500,105,11,Automatic,16,18,available,Available,Very Good
4147,Premio,Toyota,Automobile,Toyota Premio 1.8L,1349999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,158000,,58500,2012,175,Petrol,1800,136,10,Automatic,11,13,sell_on_behalf,Available,Very Good
4146,Wrangler,Jeep,Automobile,Jeep Wrangler,5599999,SUV,Foreign Used,"Nairobi, Kenya",4WD,35000,,247500,2017,350,Petrol,3600,285,10,Automatic,9,11,available,Available,Very Good
4145,Sylphy,Nissan,Automobile,Nissan Sylphy,1189999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,151000,,45000,2016,174,Petrol,1800,128,11,Automatic,11,13,available,Available,Very Good
4140,XC90,Volvo,Automobile,Volvo XC90,6599999,SUV,Foreign Used,"Nairobi, Kenya",AWD,77000,,283500,2017,400,Petrol,2000,316,7,Automatic,10,12,available,Available,Very Good
4131,Xtrail,Nissan,Automobile,Nissan XTRAIL,2599999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,35000,,112500,2017,240,Petrol,2000,180,10,Automatic,10,12,sell_on_behalf,Available,Very Good
4126,Outback,Subaru,Automobile,Subaru Outback / SUNROOF,1249999,Station Wagon,Kenyan Used,"Nairobi, Kenya",AWD,200414,,54000,2010,235,Petrol,2500,173,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4123,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado TZ-G,3999999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,79000,,180000,2010,380,Petrol,4000,277,8,Automatic,6,8,sell_on_behalf,Available,Very Good
4122,Mark X,Toyota,Automobile,Toyota Mark X,2399999,Saloon,Foreign Used,"Nairobi, Kenya",2WD,80000,,99000,2016,243,Petrol,2500,203,8.3,Automatic,10,12,available,Available,Very Good
4121,Probox / Succeed,Toyota,Automobile,Toyota Probox,989999,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,193000,,36000,2013,141,Petrol,1500,109,10,Automatic,14,16,sell_on_behalf,Available,Very Good
4120,Cx3,Mazda,Automobile,Mazda CX3,2149999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,151000,,90000,2016,270,Diesel,1500,105,8,Automatic,14,16,available,Available,Very Good
4119,Levorg,Subaru,Automobile,Subaru Levorg 1.6L,1779999,Station Wagon,Kenyan Used,"Nairobi, Kenya",AWD,84000,,90000,2016,250,Petrol,1600,167,8,Automatic,14,16,sell_on_behalf,Available,Very Good
4118,320i,Bmw,Automobile,BMW 320i 2.2L,629999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,192000,,27000,2002,210,Petrol,2200,168,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4115,Q3,Audi,Automobile,Audi Q3 2.0T QUATTRO S-LINE,2679999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,80000,,112500,2014,280,Petrol,2000,197,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4113,C200,Mercedes,Automobile,Mercedes Benz C200,3249999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,101000,,135000,2015,350,Petrol,2000,184,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4111,Fortwo,Smart,Automobile,Smart Fortwo,2699999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,47000,,112500,2017,136,Petrol,900,88,11,Automatic,22,24,available,Available,Very Good
4109,XC60,Volvo,Automobile,Volvo XC60,5449999,SUV,Foreign Used,"Nairobi, Kenya",AWD,47000,,238500,2018,350,Petrol,2000,251,7,Automatic,11,13,available,Available,Very Good
4093,A3,Audi,Automobile,Audi A3,1999999,Saloon,Kenyan Used,"Nairobi,Kenya",AWD,122539,White,87750,2016,250,Petrol,1800,178,7,Automatic,10,13,sell_on_behalf,Sold,Excellent
4091,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado VX-L,7499999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,187000,,315000,2016,500,Diesel,2800,201,8,Automatic,10,12,sell_on_behalf,Sold,Very Good
4090,Cayenne,Porsche,Automobile,Porsche Cayenne,12999999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,15776,black,652500,2019,749,Petrol,2900,520,4.6,Automatic,6,8,available,Available,Excellent
4087,Cx5,Mazda,Automobile,Mazda CX5,2649999,SUV,Kenyan Used,"Nairobi, Kenya",2WD,140000,,117000,2016,258,Petrol,2500,187,8.7,Automatic,10,12,available,Available,Very Good
4086,Atenza,Mazda,Automobile,Mazda Atenza,2849999,Saloon,Foreign Used,"Nairobi, Kenya",2WD,88000,,117000,2016,248,Petrol,2500,184,8.3,Automatic,10,12,available,Available,Very Good
4085,Axela,Mazda,Automobile,Mazda Axela,2199999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,88000,,90000,2016,136,Petrol,1500,103,12,Automatic,14,16,sell_on_behalf,Available,Very Good
4065,Jade,Honda,Automobile,Honda Jade,2149999,Station Wagon,Foreign Used,"Nairobi, Kenya",2WD,113000,,90000,2016,155,Petrol Hybrid,1500,130,8,Automatic,23,25,available,Available,Very Good
