Make,Model,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability
Toyota,Land Cruiser,2023,Diesel,4700cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Black,Brown,,,4.5,B,In Transit
Toyota,Hilux,2017,Diesel,2700cc  - VVT-I cc,Automatic,White,Gray,,,4.5,B,In Transit
Subaru,Forester,2019,Petrol,,Automatic,Blue,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,Petrol,3000cc  - V6 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Mercedes,Glc,2017,Petrol,2000cc cc,Automatic,Blue,Gray,,,4.5,B,In Transit
Nissan,Cube,2013,Petrol,1500 cc,Automatic,Pink,Beige,,,4.5,B,In Transit
Mercedes,Gle,2017,Diesel,3500cc cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Diesel,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Diesel,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,,,4.5,B,In Transit
Toyota,Vellfire,2017,Petrol,2400 cc,Automatic,Black,Gray,,,4.5,B,
Lexus,Lx,2017,Petrol,3500cc  - V6 cc,Automatic,Pearl White,Orange,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,,3000cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Lexus Lx,2018,Petrol,3500cc  - V6 cc,Automatic,Gray,Orange,4WD,,4.5,B,In Transit
Mitsubishi,Canter,2013,Diesel,3000 cc,Automatic,White,Gray,,,4.5,B,
Toyota,Lexus Lx,2018,Petrol,3500cc  - V6 cc,Automatic,Black,Orange,4WD,,4.5,B,In Transit
Toyota,Lexus Lx,2023,Diesel,3500cc  - V6 cc,Automatic,Gray,Red,4WD,,5,A,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Petrol,2700cc  - VVT-I cc,Automatic,Black,Beige,4WD,,4.5,B,In Transit
Toyota,Premio,2017,Petrol,2000cc  - Valvematic cc,Automatic,Silver,Beige,,,4.5,B,In Transit
Subaru,Outback,2016,Petrol,,Automatic,Gold,Gray,AWD,,4.5,B,In Transit
Toyota,Lexus Lx,2022,Petrol,3500cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Transit
Toyota,Land Cruiser,2021,Petrol,4600cc  - V8 cc,Automatic,Gray,Brown,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,,3000cc  - V6 cc,Automatic,Silver Metallic,Gray,,,4.5,B,In Stock
Land,Rover Discovery,2016,Petrol,3000cc  - V6 cc,Automatic,Red Wine,Beige,,,4.5,B,In Stock
