Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
Toyota,Harrier Mini,2016,81000kms Km,2000 cc,Petrol,Automatic,4.5,FWD,,,,,,
Audi,Q7,2016,93000kms Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Fielder,2016,154000kms Km,1500 cc,Petrol Hybrid,Automatic,4.5,FWD,,,,,,
Volkswagen,Tiguan Mini,2017,33000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Suzuki,Alto,2017,51000kms Km,650 cc,Petrol,Automatic,4.5,FWD,,,,,,
Suzuki,Alto,2017,40000kms Km,650 cc,Petrol,Automatic,4.5,FWD,,,,,,
Mercedes,S550,2017,21000kms Km,3000 cc,Petrol,Automatic,4.5,RWD,,,,,,
Subaru,Outback Mini,2017,91000kms Km,2500 cc,Petrol,Automatic,4.5,AWD,,,,,,
Volkswagen,Tiguan Mini,2017,63000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Suzuki,Alto,2017,74000kms Km,650 cc,Petrol,Automatic,4.5,FWD,,,,,,
Toyota,Vitz,2017,52000kms Km,1000 cc,Petrol,Automatic,4.5,FWD,,,,,,
Toyota,Land Cruiser Prado,2018,66000kms Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Lexus,Nx200T,2017,20000kms Km,20001 cc,Petrol,Automatic,4.5,FWD,,,,,,
Mercedes,S550,2017,33000kms Km,4700 cc,Petrol,Automatic,4.5,RWD,,,,,,
Nissan,Note,2017,53000kms Km,1200 cc,Petrol Hybrid,Automatic,4.5,FWD,,,,,,
Lexus,Lx600,2023,3000kms Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Lexus,Lx500D,2023,100kms Km,3300 cc,Diesel,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser,2022,16000kms Km,3500 cc,Petrol,Automatic,4.5,4WD,,,,,,
Honda,Crv,2019,19000kms Km,2000 cc,Petrol Hybrid,Automatic,4.5,4WD,,,,,,
Lexus,Lx570,2016,57000kms Km,5700 cc,Petrol,Automatic,5,4WD,,,,,,
Lexus,Lx500D,2023,4000kms Km,3300 cc,Diesel,Automatic,5,4WD,,,,,,
Toyota,Sienta,2017,16000kms Km,1500 cc,Petrol,Automatic,4.5,FWD,,,,,,
Peugeot,Nan,2015,70000kms Km,1200 cc,Petrol,Automatic,4.5,FWD,,,,,,
Toyota,Roomy,2017,45000kms Km,1000 cc,Petrol,Automatic,4.5,FWD,,,,,,
Nissan,Xtrail,2017,81000kms Km,2000cc cc,Petrol Hybrid,Automatic,4.5,AWD,,,,,,
Honda,Fit,2017,52000kms Km,1300 cc,Petrol,Automatic,4.5,FWD,,,,,,
Nissan,X Trail,2017,36000kms Km,,Petrol,Automatic,4.5,AWD,,,,,,
Honda,Fit,2017,52000kms Km,1300 cc,Petrol,Automatic,4.5,FWD,,,,,,
Audi,Q3,2017,50000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Lexus,Lx,2022,,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Toyota,Raize,,,,,,,,,,,,,
Mercedes,Gle350D,2016,57000kms Km,3500 cc,Diesel,Automatic,4.5,AWD,,,,,,
Volvo,Xc90,2016,47000kms Km,2000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Landcruiser,2023,7000 Km,3300cc cc,Diesel,Automatic,5,4WD,,,,,,
Porsche,Cayenne,2018,78000kms Km,3000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Harrier,2020,,2000cc  cc,Petrol,Automatic,5,,,,,,,
Toyota,Fielder,2015,,1500 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Mercedes,S400,2015,,3500cc cc,Petrol,Automatic,4.5,,,,,,,
Suzuki,Swift,2015,,1200 cc,Petrol,Automatic,4.5,,,,,,,
Volks,Wagen Beetle,2015,,1200cc - TSI cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Premio,2015,,1800cc  - Valvematic cc,Petrol,Automatic,4.5,,,,,,,
Honda,Crv,2015,,2000cc  cc,Petrol,Automatic,4.5,,,,,,,
Suzuki,Alto,2015,,660cc cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Vellfire,2015,,3500 - V6 cc,Petrol,Automatic,4.5,,,,,,,
Suzuki,Alto,2015,,660cc cc,Petrol,Automatic,4.5,,,,,,,
