Title,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability,Chassis Number,Details Link
Unknown,2017,Petrol Hybrid,1800 cc,Automatic,Silver,Brown,2WD,125850 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-4runner-hatchback-used-petrol-hybrid-1800-automatic-2017-in-transit-125850/
Unknown,2017,Petrol,2500 cc,Automatic,Blue,Gray,2WD,33300 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/subaru-outback-wagon-used-petrol-2500-automatic-2017-in-transit-33300/
Unknown,2017,Petrol,2500 cc,Automatic,Silver,Beige,2WD,45500 Km,4.5,B,In Stock,GR-1651,https://autoboxmotors.co.ke/listings/toyota-4runner-sedan-used-petrol-2500-automatic-2017-in-transit-45500/
Unknown,2018,Diesel,2400 cc,Automatic,Black,Brown,2WD,65620 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2018-in-transit-65620/
Unknown,2017,Diesel,2400 cc,Automatic,Blue,Black,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2017-in-transit/
Unknown,2017,Diesel,2400 cc,Automatic,Black,Black,2WD,59800 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2017-in-transit-59800/
Unknown,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,79700 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/nissan-xtrail-mini-suv-used-petrol-2000-automatic-2017-in-stock-79700/
Unknown,2018,Diesel,2400 cc,Automatic,Pearl White,Gray,4WD,30755 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2018-in-stock-30755/
Unknown,2017,Petrol,2000 cc,Automatic,Black,Gray,2WD,42450 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/nissan-xtrail-mini-suv-used-petrol-2000-automatic-2017-in-stock-42450/
Unknown,2017,Petrol,1400 cc,Automatic,Pearl White,Gray,2WD,N/A,4.5,B,In Stock,WV-3443,https://autoboxmotors.co.ke/listings/volkswagen-golf-coupe-used-petrol-1400-automatic-2017-in-stock/
Unknown,2017,Petrol,2000 cc,Automatic,Purple,Gray,2WD,134400 Km,4.5,B,In Stock,ZWR-1221,https://autoboxmotors.co.ke/listings/toyota-esquire-van-used-petrol-2000-automatic-2017-in-stock-134400/
Unknown,2023,Diesel,3300 cc,Automatic,Gray,Beige,4WD,8475 Km,6,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-new-diesel-3300-automatic-2023-in-stock-8475/
Unknown,2022,Diesel,3300 cc,Automatic,Gray,Brown,4WD,8425 Km,6,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx500d-suv-new-diesel-3300-automatic-2022-in-stock-8425/
Unknown,2018,Petrol,4600 cc,Automatic,Pearl White,Beige,4WD,10000 Km,5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-petrol-4600-automatic-2018-in-stock-10000/
Unknown,2017,Petrol Hybrid,2000 cc,Automatic,Green,Black,4WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/nissan-xtrail-mini-suv-used-petrol-hybrid-2000-automatic-2017-in-stock/
Unknown,2017,Petrol,5700 cc,Automatic,Pearl White,Gray,4WD,61298 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx-570-suv-used-petrol-5700-automatic-2017-in-stock-61298/
Unknown,2017,Petrol,5700 cc,Automatic,Gold,Jet Red,4WD,4000 Km,5,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx-570-suv-used-petrol-5700-automatic-2017-in-stock-4000/
Unknown,2017,Petrol,3000 cc,Automatic,Black,Gray,4WD,49428 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/bmw-x6-mini-suv-used-petrol-3000-automatic-2017-in-stock-49428/
Unknown,2015,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,56675 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/honda-cr-v-mini-suv-used-petrol-2000-automatic-2015-in-stock-56675/
